;g6;h6;js6;k6;n6;r6;f7;h7;s7;h8;u8;d9;f9;h9;d11;h11;b12;h12;H7;Js7;K7;F8;H8;H9;H11;H12;Js12;h13;H13;js13,Js13     ± it13/2      ;h14;H14;js14,Js14     ± it14/2      ;h15;H15;js15,Js15     ± it15/2      ;h16;H16;js16,Js16     ± it16/2      ;
‰Ó 1 ÏÏ;-;0        - 6;-;+ 6        0;-; + 16        + 10;-;0        - 10;-;0        - 14;-;-;-;-;-;0        - 60;-;-;+ 10        0;-;-;-;+ 14       0;-;+ 60       0;-;-; 0       - 140;+ 140       0;± 70;-;-;-;-;-;-;-;-;-;‰Ó 1 ÏÏ
ÓÚ 1 ‰Ó 3 ‚ÍÎ; - 2        -8;0        - 6; + 30        - 30;+ 6        0; + 10        + 4; + 16        + 10; - 6        - 16;0        - 10; + 24        + 14;0        - 14; + 32        + 18; - 20        - 45; - 6        - 31;0        - 25; - 20        - 80;0        - 60; - 140        - 240;0        - 100;+ 10        0; + 5       - 5;0        - 10; + 20        + 6;+ 14       0;+ 25       0;+ 60       0;+ 100       0; + 50       - 50; 0       - 140;+ 140       0;± 70; 0       - 250;+ 250       0;± 125;   0       - 400;+ 400       0;± 200;   0       - 600;+ 600       0;± 300;ÓÚ 1 ‰Ó 3 ‚ÍÎ
Ò‚ 3 _ 6 _; - 4        - 12;0        - 8; + 40        - 40; + 9        + 1; + 16        + 8; + 23        + 15; - 10        - 22;0        - 12; + 31        + 19;0        - 18; + 41        + 23; - 30        - 60; - 10        - 40;0        - 30; - 30        - 105;0        - 75; - 140        - 260;0        - 120;+ 12        0; + 6       - 6; + 3       - 9; + 28        + 10;+ 18       0;+ 30       0;+ 75       0;+ 120       0; + 60       - 60; 0       - 180;+ 180       0;± 90; 0       - 300;+ 300       0;± 150;   0       - 480;+ 480       0;± 240;   0       - 750;+ 750       0;± 375;Ò‚ 3 _ 6 _
_ 6 _ 10 _; - 5        - 14;0        - 9; + 45        - 45; + 10        + 1; + 19        + 10; + 28        + 19; - 13        - 28;0        - 15; + 38        + 23;0        - 22; + 50        + 28; - 40        - 76; - 13        - 49;0        - 36; - 40        - 130;0        - 90; - 150        - 300;0        - 150;+ 15        0; + 7       - 7; + 5       - 10; + 35        + 13;+ 22       0;+ 36       0;+ 90       0;+ 150       0; + 75       - 75; 0       - 220;+ 220       0;± 110; 0       - 360;+ 360       0;± 180;   0       - 580;+ 580       0;± 290;   0       - 900;+ 900       0;± 450;_ 6 _ 10 _
_ 10 _ 18 _; - 6       - 17;0        - 11; + 55        - 55; + 12        + 1; + 23        + 12; + 34        + 23; - 16        - 34;0        - 18; + 48        + 28;0        - 27; + 60        + 33; - 50        - 93; - 16        - 59;0        - 43; - 50        - 160;0        - 110; - 150        - 330;0        - 180;+ 18        0; + 9       - 9; + 6       - 12; + 43        + 16;+ 27      0;+ 43       0;+ 110       0;+ 180       0; + 90       - 90; 0       - 270;+ 270       0;± 135; 0       - 430;+ 430       0;± 215;   0       - 700;+ 700       0;± 350;   0       - 1100;+ 1100       0;± 550;_ 10 _ 18 _
_ 18 _ 24 _ ; - 7       - 20;  0       - 13; + 65       - 65; + 15       + 2; + 28     + 15; + 41     + 28; - 20       - 41;  0       - 21; + 56     + 35;  0       - 33; + 74  + 41; - 65       - 117; - 20      - 72;  0       - 52; - 65      - 195;  0       - 130; - 160      - 370;  0       - 210;+ 21       0; + 10       - 10; + 6      - 15; + 53     + 20;+ 33       0;+ 52       0;+ 130       0;+ 210      0; + 105      - 105;  0        - 330;+ 330        0;± 165;  0        - 520;+ 520       0;± 260;  0        - 840;+ 840      0;± 420;  0        - 1300;+ 1300       0;± 650;_ 18 _ 24 _ 
_ 24 _ 30 _; - 7       - 20;  0       - 13; + 65       - 65; + 15       + 2; + 28     + 15; + 41     + 28; - 20       - 41;  0       - 21; + 56     + 35;  0       - 33; + 81  + 48; - 65       - 117; - 20      - 72;  0       - 52; - 65      - 195;  0       - 130; - 160      - 370;  0       - 210;+ 21       0; + 10       - 10; + 6      - 15; + 53     + 20;+ 33       0;+ 52       0;+ 130       0;+ 210      0; + 105      - 105;  0        - 330;+ 330        0;± 165;  0        - 520;+ 520       0;± 260;  0        - 840;+ 840      0;± 420;  0        - 1300;+ 1300       0;± 650;_ 24 _ 30 _
_ 30 _ 40 _; - 9      - 25;  0       - 16; + 80     - 80; + 18       + 2; + 33    + 17; + 50     + 34; - 25      - 50;  0       - 25; + 68     + 43;  0       - 39; + 99  + 60; - 80       - 142; - 25      - 87;  0       - 62; - 80      - 240;  0       - 160; - 170     - 420;  0       - 250;+ 25       0; + 12       - 12; + 7      - 18; + 64     + 25;+ 39       0;+ 62       0;+ 160       0;+ 250      0; + 125      - 125;  0        - 390;+ 390        0;± 195;  0        - 620;+ 620        0;± 310;  0        - 1000;+ 1000        0;± 500;  0        - 1600;+ 1600        0;± 800;_ 30 _ 40 _
_ 40 _ 50 _; - 9      - 25;  0       - 16; + 80     - 80; + 18       + 2; + 33    + 17; + 50     + 34; - 25      - 50;  0       - 25; + 68     + 43;  0       - 39; + 109 + 70; - 80       - 142; - 25      - 87;  0       - 62; - 80      - 240;  0       - 160; - 180     - 430;  0       - 250;+ 25       0; + 12       - 12; + 7      - 18; + 64     + 25;+ 39       0;+ 62       0;+ 160       0;+ 250      0; + 125      - 125;  0        - 390;+ 390        0;± 195;  0        - 620;+ 620        0;± 310;  0        - 1000;+ 1000        0;± 500;  0        - 1600;+ 1600        0;± 800;_ 40 _ 50 _
_ 50 _ 65 _; - 10      - 29;  0       - 19; + 95     - 95; + 21       + 2; + 39    + 20; + 60       + 41; - 30     - 60;  0       - 30; + 83  + 53;  0       - 46; + 133 + 87; - 100       - 174; - 30      - 104;  0       - 74; - 100      - 290;  0       - 190; - 190     - 490;  0       - 300;+ 30       0; + 15       - 15; + 9      - 21; + 76     + 30;+ 46       0;+ 74       0;+ 190       0;+ 300      0; + 150      - 150;  0        - 460;+ 460        0;± 230;  0        - 740;+ 740        0;± 370;  0        - 1200;+ 1200       0;± 600;  0        - 1900;+ 1900       0;± 950;_ 50 _ 65 _
